slot,time,active_pms,total_containers,containers_finished,violations,avg_cpu_util,energy_kwh,power_watts,rl_reward,rl_epsilon,slot_violations,migrations
113,3390,1,0,408,0,0.0,0.8333333333333334,100.0,-1.0,0.2861901574372292,0,0
114,3420,1,0,414,0,0.0,0.8333333333333334,100.0,-1.0,0.2833282558628569,0,0
115,3450,1,0,417,0,0.0,0.8333333333333334,100.0,-1.0,0.28049497330422835,0,0
116,3480,1,0,418,0,0.0,0.8333333333333334,100.0,-1.0,0.27769002357118605,0,0
117,3510,1,0,419,0,0.0,0.8333333333333334,100.0,-1.0,0.2749131233354742,0,0
118,3540,1,0,421,0,0.0,0.8333333333333334,100.0,-1.0,0.27216399210211945,0,0
119,3570,1,0,426,0,0.0,0.8333333333333334,100.0,-1.0,0.26944235218109824,0,0
120,3600,1,0,430,0,0.0,0.8333333333333334,100.0,-1.0,0.26674792865928726,0,0
121,3630,1,0,433,0,0.0,0.8333333333333334,100.0,-1.0,0.26408044937269437,0,0
122,3660,1,0,436,0,0.0,0.8333333333333334,100.0,-1.0,0.2614396448789674,0,0
123,3690,1,0,436,0,0.0,0.8333333333333334,100.0,0.0,0.25882524843017773,0,0
124,3720,1,0,439,0,0.0,0.8333333333333334,100.0,-1.0,0.25623699594587596,0,0
125,3750,1,0,445,0,0.0,0.8333333333333334,100.0,-1.0,0.2536746259864172,0,0
126,3780,1,0,448,0,0.0,0.8333333333333334,100.0,-1.0,0.25113787972655305,0,0
127,3810,1,0,448,0,0.0,0.8333333333333334,100.0,0.0,0.2486265009292875,0,0
128,3840,1,0,451,0,0.0,0.8333333333333334,100.0,-1.0,0.24614023591999462,0,0
129,3870,1,0,454,0,0.0,0.8333333333333334,100.0,-1.0,0.24367883356079467,0,0
130,3900,1,0,460,0,0.0,0.8333333333333334,100.0,-1.0,0.24124204522518672,0,0
131,3930,1,0,464,0,0.0,0.8333333333333334,100.0,-1.0,0.23882962477293485,0,0
132,3960,1,0,467,0,0.0,0.8333333333333334,100.0,-1.0,0.2364413285252055,0,0
133,3990,1,0,471,0,0.0,0.8333333333333334,100.0,-1.0,0.23407691523995344,0,0
134,4020,1,0,474,0,0.0,0.8333333333333334,100.0,-1.0,0.2317361460875539,0,0
135,4050,1,0,478,0,0.0,0.8333333333333334,100.0,-1.0,0.22941878462667836,0,0
136,4080,1,0,478,0,0.0,0.8333333333333334,100.0,0.0,0.22712459678041158,0,0
137,4110,1,0,484,0,0.0,0.8333333333333334,100.0,-1.0,0.22485335081260746,0,0
138,4140,1,0,490,0,0.0,0.8333333333333334,100.0,-1.0,0.2226048173044814,0,0
139,4170,1,0,491,0,0.0,0.8333333333333334,100.0,-1.0,0.22037876913143659,0,0
140,4200,1,0,492,0,0.0,0.8333333333333334,100.0,-1.0,0.2181749814401222,0,0
141,4230,1,0,492,0,0.0,0.8333333333333334,100.0,0.0,0.21599323162572098,0,0
142,4260,1,0,494,0,0.0,0.8333333333333334,100.0,-1.0,0.21383329930946376,0,0
143,4290,1,0,499,0,0.0,0.8333333333333334,100.0,-1.0,0.21169496631636914,0,0
144,4320,1,0,506,0,0.0,0.8333333333333334,100.0,-1.0,0.20957801665320544,0,0
145,4350,1,0,513,0,0.0,0.8333333333333334,100.0,-1.0,0.20748223648667338,0,0
146,4380,1,0,517,0,0.0,0.8333333333333334,100.0,-1.0,0.20540741412180666,0,0
147,4410,1,0,524,0,0.0,0.8333333333333334,100.0,-1.0,0.20335333998058858,0,0
148,4440,1,0,530,0,0.0,0.8333333333333334,100.0,-1.0,0.2013198065807827,0,0
149,4470,1,0,534,0,0.0,0.8333333333333334,100.0,-1.0,0.19930660851497486,0,0
150,4500,1,0,539,0,0.0,0.8333333333333334,100.0,-1.0,0.1973135424298251,0,0
151,4530,1,0,542,0,0.0,0.8333333333333334,100.0,-1.0,0.19534040700552685,0,0
